Feed Product Type	Seller SKU	Update Delete	Your Price GBP (UK)	List Price with Tax for Display
feed_product_type	item_sku	update_delete	purchasable_offer[marketplace_id=A1F83G8C2ARO7P]#1.our_price#1.schedule#1.value_with_tax	list_price_with_tax
toyfigure	ALI-1005008976822293	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008976914548	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008977062939	PartialUpdate	19.99	19.99
toyfigure	ALI-1005008997034990	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009023824827	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009078883666	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009079230646	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009096140446	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009105679620	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009105830335	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009105883244	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009105897089	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009114265945	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009114340612	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009274210767	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009274240714	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009281636927	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009281795534	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009282321457	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009282432118	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009316503650	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009316532570	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009316540516	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009361332814	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009364325797	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009364443386	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009364643173	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009370604976	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009370787588	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009370850389	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009375766792	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009375793694	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009380857721	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009380920479	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009411684756	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009452566364	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009452665510	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009461923480	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009592570857	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009597839217	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009613340278	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009650383702	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009650487466	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009657354938	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009657571555	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009694433361	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009694460324	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009694515240	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009703183009	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009703637274	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009711332888	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009711566163	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009734170490	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009734224469	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009734255150	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009754133866	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009755410442	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009769247236	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009769291404	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009864244373	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009864257702	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009874965425	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009905055465	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009907165231	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009917035837	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009941036195	PartialUpdate	19.99	19.99
toyfigure	ALI-1005009959332285	PartialUpdate	19.99	19.99
